ID,estacion,Distance
649,MCM,0.009206339
650,MCM,0.00344923
651,HGM,0.018597547
652,HGM,0.026201049
653,MCM,0.009793671
654,HGM,0.021391216
655,MCM,0.023382997
656,MCM,0.010527048
657,MCM,0.007056398
658,MCM,0.008663914
659,HGM,0.020499357
660,MCM,0.010340719
661,MCM,0.006654294
662,HGM,0.021558453
663,MCM,0.019295195
664,MCM,0.008290228
665,MCM,0.008294774
666,MER,0.004480438
667,MGH,0.02382071
668,MCM,0.008217162
669,HGM,0.023002927
670,MCM,0.022216438
671,HGM,0.021206453
672,SJA,0.01597203
673,UAX,0.040175038
674,MCM,0.009154553
675,HGM,0.02181788
676,SFE,0.017910895
677,MCM,0.026109037
678,UIZ,0.025103891
679,HGM,0.021636672
680,MCM,0.019155917
681,GAM,0.01715118
682,UAX,0.013548764
683,NEZ,0.044913658
684,CUA,0.01491334
685,DIC,0.026553476
686,MGH,0.020676463
687,MGH,0.02317903
688,IZT,0.019787184
689,SHA,0.017516017
690,HGM,0.025502708
691,MCM,0.006634631
692,COY,0.018429972
693,MCM,0.019331831
694,IBM,0.013807396
695,TEC,0.004733965
696,IZT,0.006222282
697,CAM,0.02791207
698,CAM,0.02274496
699,MCM,0.01335182
700,HGM,0.021475592
701,MCM,0.00319746
702,DIC,0.025861881
703,NEZ,0.020102156
704,MCM,0.015587852
705,MCM,0.004210668
706,CCA,0.018900854
707,HGM,0.019496049
708,SJA,0.017190572
709,HGM,0.021692738
710,HGM,0.020546695
711,HGM,0.02188702
712,MCM,0.015638459
713,CAM,0.022962165
714,MCM,0.010349918
715,BJU,0.010321687
716,MCM,0.013411755
717,UIZ,0.016321543
718,MCM,0.015571397
719,MCM,0.009165124
720,IZT,0.023361358
721,CCA,0.028619235
722,MCM,0.008949269
723,PED,0.031277157
724,NEZ,0.017753354
725,HGM,0.021196593
726,MCM,0.019318467
727,BJU,0.028071866
728,MCM,0.019302368
729,MCM,0.003663264
730,UAX,0.021438722
731,MCM,0.016704394
732,MCM,0.008283164
733,UIZ,0.017269345
734,COY,0.017886084
735,HGM,0.021475068
736,LAA,0.010647825
737,IZT,0.006537766
738,UIZ,0.033831357
739,MCM,0.018732033
740,HGM,0.021134431
741,MCM,0.018971498
742,MCM,0.01348184
743,CCA,0.021739066
744,HGM,0.021860604
745,SJA,0.020310805
746,MCM,0.019310744
747,MCM,0.002483616
748,MCM,0.002831767
749,MCM,0.016329775
750,MCM,0.010346993
751,MCM,0.009570262
752,LAA,0.004885065
753,MCM,0.026604697
754,MCM,0.017992128
755,HGM,0.019345622
756,MCM,0.026088182
757,UIZ,0.016946019
758,CAM,0.028019511
759,MCM,0.01341437
760,MCM,0.019315521
761,MCM,0.009996665
762,MCM,0.002974579
763,COY,0.015758574
