"","Asunto","Latitud","Longitud","fecha","date","day","hour","month"
"157","MNF - Manifestacion",19.4359629439431,-99.1534325054184,2014-02-01,2014-02-01 11:05:00,"Sat",11,"Feb"
"158","MNF - Manifestacion",19.4317526016761,-99.1593506711466,2014-02-01,2014-02-01 16:49:00,"Sat",16,"Feb"
"159","MNF - Manifestacion",19.4348593014482,-99.1441724911976,2014-02-02,2014-02-02 13:32:00,"Sun",13,"Feb"
"160","MCH - Marcha",19.4478567876166,-99.1341132512207,2014-02-03,2014-02-03 11:14:00,"Mon",11,"Feb"
"161","MNF - Manifestacion",19.4274303757078,-99.1679094181991,2014-02-03,2014-02-03 12:39:00,"Mon",12,"Feb"
"162","MCH - Marcha",19.48893,-99.15202,2014-02-03,2014-02-03 13:11:00,"Mon",13,"Feb"
"163","MNF - Manifestacion",19.4354435533864,-99.1784046089975,2014-02-04,2014-02-04 10:36:00,"Tues",10,"Feb"
"164","MNF - Manifestacion",19.4590689354998,-99.1273144000001,2014-02-04,2014-02-04 11:06:00,"Tues",11,"Feb"
"165","MNF - Manifestacion",19.4266820127056,-99.1341831768912,2014-02-04,2014-02-04 11:10:00,"Tues",11,"Feb"
"166","MNF - Manifestacion",19.4293752907856,-99.1639846186714,2014-02-04,2014-02-04 11:31:00,"Tues",11,"Feb"
"167","MNF - Manifestacion",19.4365678595877,-99.1378737259564,2014-02-04,2014-02-04 11:35:00,"Tues",11,"Feb"
"168","MNF - Manifestacion",19.3609882015323,-99.2804972223137,2014-02-04,2014-02-04 12:34:00,"Tues",12,"Feb"
"169","MCH - Marcha",19.4356548322983,-99.1380579946899,2014-02-05,2014-02-05 08:23:00,"Wed",8,"Feb"
"170","MNF - Manifestacion",19.436560505016,-99.1378699966423,2014-02-05,2014-02-05 10:16:00,"Wed",10,"Feb"
"171","MNF - Manifestacion",19.4302000396089,-99.1618091351696,2014-02-05,2014-02-05 10:31:00,"Wed",10,"Feb"
"172","MNF - Manifestacion",19.431906079971,-99.1334391125092,2014-02-05,2014-02-05 12:03:00,"Wed",12,"Feb"
"173","MNF - Manifestacion",19.41022,-99.18287,2014-02-05,2014-02-05 12:10:00,"Wed",12,"Feb"
"174","MNF - Manifestacion",19.3823376,-99.180801,2014-02-05,2014-02-05 18:30:00,"Wed",18,"Feb"
"175","MNF - Manifestacion",19.3969769548787,-99.1648067465271,2014-02-06,2014-02-06 06:27:00,"Thurs",6,"Feb"
"176","MNF - Manifestacion",19.4319111388186,-99.133412290419,2014-02-06,2014-02-06 09:57:00,"Thurs",9,"Feb"
"177","MNF - Manifestacion",19.4333644590538,-99.1544903264976,2014-02-06,2014-02-06 10:00:00,"Thurs",10,"Feb"
"178","MNF - Manifestacion",19.4373783519701,-99.1314826411392,2014-02-06,2014-02-06 11:12:00,"Thurs",11,"Feb"
"179","MNF - Manifestacion",19.4290778234926,-99.1325914034613,2014-02-06,2014-02-06 13:34:00,"Thurs",13,"Feb"
"180","MNF - Manifestacion",19.3566686424445,-99.0866032057434,2014-02-06,2014-02-06 14:01:00,"Thurs",14,"Feb"
"181","MNF - Manifestacion",19.4360810807529,-99.1701402825561,2014-02-07,2014-02-07 06:37:00,"Fri",6,"Feb"
"182","MNF - Manifestacion",19.434953005881,-99.1440854348182,2014-02-07,2014-02-07 11:35:00,"Fri",11,"Feb"
"183","MNF - Manifestacion",19.4319111388186,-99.133417654837,2014-02-07,2014-02-07 12:13:00,"Fri",12,"Feb"
"184","MNF - Manifestacion",19.4319040921445,-99.133397960202,2014-02-07,2014-02-07 16:51:00,"Fri",16,"Feb"
"185","MNF - Manifestacion",19.3567364583078,-99.0865675658455,2014-02-07,2014-02-07 22:33:00,"Fri",22,"Feb"
"186","MCH - Marcha",19.376465979794,-99.0590758593079,2014-02-10,2014-02-10 07:18:00,"Mon",7,"Feb"
"187","MNF - Manifestacion",19.3448112356588,-99.0609525844116,2014-02-10,2014-02-10 07:40:00,"Mon",7,"Feb"
"188","MNF - Manifestacion",19.4765428984979,-99.0917784973145,2014-02-10,2014-02-10 07:43:00,"Mon",7,"Feb"
"189","MNF - Manifestacion",19.4251078739668,-99.192042245369,2014-02-10,2014-02-10 07:51:00,"Mon",7,"Feb"
"190","MNF - Manifestacion",19.3666917384062,-99.0402680593079,2014-02-10,2014-02-10 07:59:00,"Mon",7,"Feb"
"191","MNF - Manifestacion",19.3870916945036,-99.1425697393311,2014-02-10,2014-02-10 08:02:00,"Mon",8,"Feb"
"192","MNF - Manifestacion",19.3375069559938,-99.1227229005249,2014-02-10,2014-02-10 08:51:00,"Mon",8,"Feb"
"193","MNF - Manifestacion",19.4265583919842,-99.1420764713027,2014-02-10,2014-02-10 10:37:00,"Mon",10,"Feb"
"194","MCH - Marcha",19.4351825699025,-99.1498619060516,2014-02-10,2014-02-10 11:02:00,"Mon",11,"Feb"
"195","MNF - Manifestacion",19.43266,-99.1509,2014-02-10,2014-02-10 11:43:00,"Mon",11,"Feb"
"196","MNF - Manifestacion",19.4332643748703,-99.1324386485466,2014-02-10,2014-02-10 11:53:00,"Mon",11,"Feb"
"197","MNF - Manifestacion",19.4250401222938,-99.192040275441,2014-02-10,2014-02-10 14:17:00,"Mon",14,"Feb"
"198","MNF - Manifestacion",19.4323824275757,-99.1590174066765,2014-02-10,2014-02-10 15:11:00,"Mon",15,"Feb"
"199","MNF - Manifestacion",19.3710804859199,-99.1616084246064,2014-02-10,2014-02-10 17:04:00,"Mon",17,"Feb"
"200","MNF - Manifestacion",19.3261403309494,-99.1246970063599,2014-02-10,2014-02-10 17:04:00,"Mon",17,"Feb"
"201","MNF - Manifestacion",19.43635,-99.15561,2014-02-11,2014-02-11 09:56:00,"Tues",9,"Feb"
